RCDTS,School Name,District,City,County,District Type,School Type,Grades Served,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - Non-binary,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Middle Eastern or North African,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Former EL,% Student Enrollment - Never EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% Student Enrollment - Youth in Care,% Student Enrollment - Migrant,% Student Enrollment - Military,% Teachers - White,% Teachers - Black or African American,% Teachers - Hispanic or Latino,% Teachers - Asian,% Teachers - Native Hawaiian or Other Pacific Islander,% Teachers - American Indian or Alaska Native,% Teachers - Two or More Races,% Teachers - MENA,% Out-of-Field Teachers,% Out-of-Field Teachers - High Poverty Schools,% Out-of-Field Teachers - Low Poverty Schools,% 9th Grade on Track - White,% 9th Grade on Track - Black or African American,% 9th Grade on Track - Hispanic or Latino,% 9th Grade on Track - Asian,% 9th Grade on Track - Native Hawaiian or Other Pacific Islander,% 9th Grade on Track - American Indian or Alaska Native,% 9th Grade on Track - Two or More Races,% 9th Grade on Track - MENA,% 9th Grade on Track - Children with Disabilities,% 9th Grade on Track - IEP,% 9th Grade on Track - EL,% 4-year Institution Remediation - ELA,% CRDC School Related Arrests,% Students Assessed for Giftedness  - White,% Students Assessed for Giftedness  - Black or African American,% Students Assessed for Giftedness  - Hispanic or Latino,% Students Assessed for Giftedness  - Asian,% Students Assessed for Giftedness  - Native Hawaiian or Other Pacific Islander,% Students Assessed for Giftedness  - American Indian or Alaska Native,% Students Assessed for Giftedness  - Two or More Race,% Students Assessed for Giftedness  - MENA,% Students Assessed for Giftedness  - IEP,% Students Assessed for Giftedness  - EL,% Students Identified as Gifted  - White,% Students Identified as Gifted  - Black or African American,% Students Identified as Gifted  - Hispanic or Latino,% Students Identified as Gifted  - Asian,% Students Identified as Gifted  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted  - American Indian or Alaska Native,% Students Identified as Gifted  - Two or More Race,% Students Identified as Gifted  - MENA,% Students Identified as Gifted  - IEP,% Students Identified as Gifted  - EL,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - White,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Black or African American,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Asian,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Two or More Race,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - MENA,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - IEP,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - EL,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - White,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Black or African American,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Asian,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Two or More Race,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - MENA,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - IEP,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - EL
04-004-1000-26-0002,Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,Unit District,High School,9 - 12,52.5,47.5,,54.7,3.8,36.9,1.3,,,3.1,,19.2,13.4,18.2,11.0,70.8,45.5,2.6,,,,89.7,,8.2,1.0,,,1.0,,2.2,,,91.5,84.6,82.3,,,,,,76.1,76.5,73.1,,2.5,83.7,70.4,79.6,77.8,,,77.3,,91.9,75.5,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-074-0050-26-0001,Bement High School,Bement CUSD 5,Bement,Piatt,Unit District,High School,9 - 12,52.4,47.6,,84.1,,,,,,,,14.6,14.6,,,95.1,40.2,,,,,89.8,,,,,,10.2,,15.8,,,93.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-028-1030-13-0001,Benton Cons High School,Benton Cons HSD 103,Benton,Franklin,High School District,High School,9 - 12,56.7,43.3,,90.0,,3.0,,,,5.9,,18.8,14.9,,,98.3,50.8,9.5,,,,95.6,,2.2,,,,,,8.3,,,88.6,,,,,,,,86.4,90.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-057-0080-26-0001,Civic Memorial High School,Bethalto CUSD 8,Bethalto,Madison,Unit District,High School,9 - 12,46.8,53.2,,87.0,2.0,5.2,,,,5.4,,19.1,10.9,,,98.1,42.6,1.9,1.3,,3.1,98.0,,,,,2.0,,,14.7,,,95.2,,,,,,100.0,,94.6,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-092-8000-80-0001,Bismarck Henning Rossville Alvin Cooperative High School,Bismarck Henning Rossville Alvin Cooperative High School,Bismarck,Vermilion,Administrative Agent,High School,9 - 12,47.8,52.2,,85.9,,6.6,,,,6.3,,19.9,12.4,,,,40.3,,,,,96.2,,,,,,3.8,,,,,91.0,,,,,,,,87.5,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Chicago Heights,Cook,High School District,High School,9 - 12,53.3,46.7,,2.3,39.5,56.4,,,,1.2,,12.6,12.6,28.1,14.4,57.5,81.9,,,,,62.8,17.1,14.0,,,,6.1,,9.5,,,,86.9,85.4,,,,,,92.2,92.2,82.2,,0.0,,1.8,2.7,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Chicago Heights,Cook,High School District,High School,9 - 12,49.1,50.9,,9.9,59.1,28.0,,,,2.2,,18.8,18.8,10.9,6.3,82.8,81.1,,1.0,,,74.6,18.8,4.1,,,,2.6,,8.4,,,85.7,80.3,79.7,,,,,,73.1,73.1,81.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0870-25-0001,Bloomington High School,Bloomington SD 87,Bloomington,McLean,Unit District,High School,9 - 12,48.2,51.8,,42.7,21.0,22.2,,,,11.7,,24.6,15.9,10.1,6.6,83.4,59.6,2.5,1.1,,1.2,82.2,5.9,6.9,1.0,,,4.0,,1.6,,,87.5,73.0,,,,,76.6,,82.6,81.1,70.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-020-0180-26-0001,Blue Ridge High School,Blue Ridge CUSD 18,Farmer City,Dewitt,Unit District,High School,9 - 12,52.6,,,88.8,,,,,,,,34.9,14.5,,,100.0,42.8,,,,,90.1,,5.0,,,,,,12.2,,,96.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-041-3180-27-0001,Webber High School,Bluford Unit School District 318,Bluford,Jefferson,Unit District,High School,9 - 12,59.1,40.9,,95.5,,,,,,,,18.2,18.2,,,100.0,34.1,,,,,95.3,4.7,,,,,,,5.4,,,87.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-003-0020-26-0001,Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,Unit District,High School,9 - 12,54.8,45.2,,89.3,,2.8,,,,5.4,,21.8,20.1,,,,44.1,,,,,97.1,,2.9,,,,,,7.9,,,86.1,,,,,,,,90.0,88.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-046-3070-16-0001,Bradley-Bourbonnais C High School,Bradley Bourbonnais CHSD 307,Bradley,Kankakee,High School District,High School,9 - 12,49.8,50.2,,63.1,12.3,16.3,,,,6.4,,26.1,17.1,5.3,3.2,91.5,48.3,0.9,,,,98.4,,0.8,0.8,,,,,17.9,,,93.1,84.4,94.7,,,,85.7,,91.2,93.7,91.7,,0.1,7.8,11.3,4.6,,,,,,3.7,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2280-16-0001,Bremen High School,Bremen CHSD 228,Midlothian,Cook,High School District,High School,9 - 12,51.9,48.1,,10.4,21.5,65.6,1.3,,,,,19.8,14.1,28.5,17.5,53.9,39.0,1.4,,,1.9,75.8,4.5,1.1,,,,18.6,,3.7,,,100.0,88.5,97.5,,,,,,96.0,97.6,96.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2280-16-0003,Hillcrest High School,Bremen CHSD 228,Country Club Hills,Cook,High School District,High School,9 - 12,48.9,51.1,,,88.1,9.3,,,,1.8,,18.3,14.5,3.2,2.9,94.0,52.9,6.1,1.3,,2.4,54.3,19.8,,,,,25.9,,9.2,,,,96.9,100.0,,,,,,94.4,94.1,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2280-16-0004,Oak Forest High School,Bremen CHSD 228,Oak Forest,Cook,High School District,High School,9 - 12,52.3,47.7,,46.0,11.3,32.7,5.7,,,2.8,0.8,21.2,14.9,14.8,11.9,73.3,24.7,1.2,,,1.6,75.4,1.3,,,,,23.3,,3.1,,,100.0,100.0,95.2,100.0,,,,,100.0,100.0,98.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2280-16-0002,Tinley Park High School,Bremen CHSD 228,Tinley Park,Cook,High School District,High School,9 - 12,49.4,50.6,,42.5,23.9,26.9,3.3,,,2.5,,19.9,11.6,7.1,10.7,82.2,22.2,,,,1.9,80.5,2.0,,,,,17.5,,5.5,,,96.7,93.9,97.1,100.0,,,,,96.3,93.9,96.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-3090-26-0003,Brimfield High School,Brimfield CUSD 309,Brimfield,Peoria,Unit District,High School,9 - 12,50.0,50.0,,96.2,,,,,,,,9.2,9.2,,,100.0,9.2,,,,,94.7,,5.3,,,,,,4.1,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-082-1880-22-0001,Lovejoy Technology Academy,Brooklyn UD 188,Lovejoy,Saint Clair,Unit District,High School,9 - 12,,,,,90.9,,,,,,,,,,,,50.0,,,,,,100.0,,,,,,,74.5,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-005-0010-26-0001,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,Unit District,High School,9 - 12,50.2,49.8,,91.4,,,,,,,,16.7,12.7,,,,31.2,,,,,99.4,,,0.6,,,,,6.1,,,92.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-026-2010-26-0003,Brownstown High School,Brownstown CUSD 201,Brownstown,Fayette,Unit District,High School,9 - 12,53.8,46.2,,97.8,,,,,,,,22.6,17.2,,,100.0,66.7,,,,,100.0,,,,,,,,3.8,,,92.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-007-0420-26-0001,Brussels High School,Brussels CUSD 42,Brussels,Calhoun,Unit District,High School,7 - 12,,53.8,,89.7,,,,,,,,,,,,100.0,30.8,,,,,100.0,,,,,,,,55.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-056-0080-26-0001,Bunker Hill High School,Bunker Hill CUSD 8,Bunker Hill,Macoupin,Unit District,High School,9 - 12,55.2,44.8,,89.6,,,,,,,,18.4,15.3,,,100.0,51.5,6.7,,,,100.0,,,,,,,,23.6,,,96.6,,,,,,,,,,,,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-006-3400-26-0001,Bureau Valley High School,Bureau Valley CUSD 340,Manlius,Bureau,Unit District,High School,9 - 12,53.4,,,92.2,,6.0,,,,,,14.2,11.4,,,98.9,37.0,,,,,100.0,,,,,,,,2.5,,,90.5,,,,,,,,66.7,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-062-1700-26-0001,Bushnell-Prairie City High Sch,Bushnell Prairie City CUSD 170,Bushnell,McDonough,Unit District,High School,9 - 12,48.2,51.8,,86.3,,,,,,6.0,,25.6,20.8,,,100.0,57.1,,,,,90.9,4.6,,,,,,,22.2,,,66.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-071-2260-26-0001,Byron High School 9-12,Byron CUSD 226,Byron,Ogle,Unit District,High School,9 - 12,51.0,,,84.7,,9.1,,,,4.4,,15.5,15.5,,,96.5,23.7,,,,2.9,97.4,,2.6,,,,,,6.6,,,100.0,,100.0,,,,,,100.0,100.0,,,0.0,41.9,,61.4,,,,55.0,,,,41.9,,61.4,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,
50-082-1870-26-0011,Cahokia High School,Cahokia CUSD 187,Cahokia,Saint Clair,Unit District,High School,9 - 12,50.1,49.9,,2.4,89.6,2.8,,,,5.2,,22.2,20.9,,,98.4,76.3,7.2,1.8,,,74.4,19.2,4.3,,,,2.1,,12.1,,,,76.0,,,,,80.0,,66.7,67.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-002-0010-22-0001,Cairo Jr/Sr High School,Cairo USD 1,Cairo,Alexander,Unit District,High School,7 - 12,50.4,49.6,,10.1,79.1,,,,,,,23.3,23.3,,,100.0,96.9,13.2,,,,45.8,54.2,,,,,,,43.3,,,,91.7,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-007-0400-26-0001,Calhoun High School,Calhoun CUSD 40,Hardin,Calhoun,Unit District,High School,9 - 12,54.1,45.9,,95.9,,,,,,,,11.2,11.2,,,100.0,34.1,,,,,100.0,,,,,,,,17.4,,,77.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-037-2270-26-0002,Cambridge Jr/Sr High School,Cambridge CUSD 227,Cambridge,Henry,Unit District,High School,6 - 12,49.5,50.5,,98.2,,,,,,,,12.2,9.9,,,100.0,47.7,5.4,,,,100.0,,,,,,,,10.6,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-029-0660-25-0001,Canton High School,Canton Union SD 66,Canton,Fulton,Unit District,High School,9 - 12,51.6,,,89.8,,2.3,,,,5.6,,21.5,13.9,,,98.8,52.1,,,,,100.0,,,,,,,,12.1,,,91.3,,,,,,,,86.5,81.8,,,0.0,18.2,,,,,,,,,,18.0,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,
30-039-1650-16-0001,Carbondale Comm H S,Carbondale CHSD 165,Carbondale,Jackson,High School District,High School,9 - 12,50.4,,,46.6,29.2,11.2,2.9,,,9.7,,24.3,14.1,6.9,2.5,90.6,60.1,5.2,1.2,,,89.0,4.1,2.7,1.4,,,2.7,,1.7,,,88.0,78.3,87.9,,,,90.0,,70.5,71.2,81.0,,0.0,5.9,3.1,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-056-0010-26-0002,Carlinville High School,Carlinville CUSD 1,Carlinville,Macoupin,Unit District,High School,9 - 12,49.0,51.0,,93.7,,,,,,,,21.1,14.5,,,,40.5,6.3,,,,97.2,2.8,,,,,,,8.7,,,92.3,,,,,,,,92.9,91.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-014-0010-26-0001,Carlyle High School,Carlyle CUSD 1,Carlyle,Clinton,Unit District,High School,9 - 12,52.5,47.5,,91.4,,,,,,3.9,,21.8,16.4,,,,52.1,,,,,100.0,,,,,,,,22.2,,,90.1,,,,,,,,68.8,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-097-0050-26-0001,Carmi-White County High School,Carmi-White County CUSD 5,Carmi,White,Unit District,High School,9 - 12,50.8,49.3,,94.8,,,,,,,,19.3,17.0,,,,47.8,6.0,,,,92.8,,,,3.6,,,,10.0,,,92.7,,,,,,,,90.5,88.2,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-083-0020-26-0001,Carrier Mills-Stonefort H S,Carrier Mills-Stonefort CUSD 2,Carrier Mills,Saline,Unit District,High School,9 - 12,45.6,54.4,,81.1,,,,,,,,16.7,14.4,,,100.0,54.4,15.6,,,,100.0,,,,,,,,4.1,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-031-0010-26-0003,Carrollton High School,Carrollton CUSD 1,Carrollton,Greene,Unit District,High School,9 - 12,50.9,49.1,,96.4,,,,,,,,16.8,14.4,,,100.0,36.5,,,,,100.0,,,,,,,,9.2,,,81.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-100-0050-26-0001,Carterville High School,Carterville CUSD 5,Carterville,Williamson,Unit District,High School,9 - 12,52.5,47.5,,79.9,,8.0,3.7,,,5.4,,16.0,12.3,,,96.9,42.5,2.6,,,,96.8,,2.6,,,,,,5.4,,,97.1,,100.0,,,,,,86.2,83.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-012-004C-26-0001,Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,Casey,Clark,Unit District,High School,7 - 12,54.8,45.2,,94.4,,,,,,,,19.4,14.3,,,,45.5,3.4,,,,100.0,,,,,,,,11.7,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-087-0210-26-0001,Central A & M High School,Central A & M CUD 21,Moweaqua,Shelby,Unit District,High School,9 - 12,51.0,49.0,,94.2,,,,,,,,11.2,11.2,,,,36.9,,,,,100.0,,,,,,,,2.0,,,97.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-014-0710-16-0001,Central Comm High School,Central CHSD 71,Breese,Clinton,High School District,High School,9 - 12,53.5,46.5,,91.8,,5.6,,,,1.8,,13.0,9.6,,,96.6,19.1,1.6,,,,97.6,,,,,,,,4.2,,,97.8,,,,,,,,100.0,100.0,,,0.0,4.6,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-001-0030-26-0001,Central High School,Central CUSD 3,Camp Point,Adams,Unit District,High School,9 - 12,51.8,48.2,,95.5,,,,,,,,29.5,18.2,,,99.1,41.4,,,,,88.9,,11.1,,,,,,25.8,,,98.2,,,,,,,,100.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-045-3010-26-0001,Central High School,Central CUSD 301,Burlington,Kane,Unit District,High School,9 - 12,51.9,48.1,,58.8,,19.6,14.9,,,4.0,,16.3,8.9,7.2,15.2,77.6,16.3,0.6,,,0.9,90.5,,3.8,2.4,,,3.4,,21.0,,,99.6,84.6,87.3,98.7,,,84.2,,89.3,84.8,76.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-038-0040-26-0001,Central High School,Central CUSD 4,Clifton,Iroquois,Unit District,High School,9 - 12,47.3,52.7,,83.7,,12.5,,,,3.8,,18.6,18.6,,,96.6,35.6,,,,,86.0,,4.1,,,,,,15.6,,,94.1,,,,,,,,84.6,84.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-058-2000-17-0001,Centralia High School,Centralia HSD 200,Centralia,Marion,High School District,High School,9 - 12,48.9,51.1,,69.6,11.5,7.0,,,,10.4,,20.3,17.7,,,99.0,63.4,6.2,4.1,,,95.8,2.8,1.4,,,,,,8.3,,,83.7,68.2,68.4,,,,94.7,,66.7,65.4,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-077-1000-26-0001,Century Jr/Sr High School,Century CUSD 100,Ullin,Pulaski,Unit District,High School,6 - 12,51.7,48.3,,86.0,7.0,,,,,,,18.9,18.9,,,100.0,60.8,,,,,100.0,,,,,,,,1.8,,,90.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-074-1000-26-0001,Cerro Gordo Jr and Sr High School,Cerro Gordo CUSD 100,Cerro Gordo,Piatt,Unit District,High School,6 - 12,46.9,53.1,,91.5,,6.2,,,,,,14.7,10.9,,,,40.3,,,,,100.0,,,,,,,,14.1,,,87.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-008-3990-26-0002,Chadwick-Milledgeville Jr/Sr High School,Chadwick-Milledgeville CUSD 399,Milledgeville,Carroll,Unit District,High School,6 - 12,45.3,54.7,,95.0,,,,,,,,9.5,9.5,,,100.0,42.5,,,,,74.4,,,,,,,,7.0,,,96.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-010-0040-26-0001,Centennial High School,Champaign CUSD 4,Champaign,Champaign,Unit District,High School,9 - 12,,51.0,,26.8,42.8,13.6,8.0,,,8.6,,20.8,14.8,10.9,9.3,79.8,51.7,1.2,,,,81.1,5.5,5.4,8.1,,,,,5.6,,,84.7,69.8,81.5,100.0,,,81.5,,57.1,59.6,79.5,,0.1,6.3,2.7,,12.3,,,,,,,6.3,2.4,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,
09-010-0040-26-0002,Central High School,Champaign CUSD 4,Champaign,Champaign,Unit District,High School,9 - 12,50.8,,,38.6,24.7,19.7,9.8,,,6.6,,19.9,11.3,15.5,6.8,77.8,44.4,1.3,0.8,,,84.2,4.5,7.6,3.8,,,,,6.3,,,94.2,69.2,74.4,97.4,,,80.0,,77.5,74.6,73.9,,0.0,8.3,2.6,,17.6,,,,,,,8.3,2.4,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11-015-0010-26-0001,Charleston High School,Charleston CUSD 1,Charleston,Coles,Unit District,High School,9 - 12,50.0,50.0,,78.4,7.3,5.9,,,,7.3,,14.9,14.8,,,96.2,43.9,4.5,,,,100.0,,,,,,,,12.3,,,82.3,,,,,,,,54.1,54.1,,,0.0,10.0,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-079-1390-26-0001,Chester High School,Chester CUSD 139,Chester,Randolph,Unit District,High School,9 - 12,52.8,47.2,,87.8,,9.1,,,,,,17.5,12.8,,,95.0,37.8,5.3,,,,85.8,,,4.7,,,,,8.4,,,85.5,,,,,,,,76.5,92.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-085C,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,56.3,43.7,,,,97.3,,,,,,17.6,17.6,53.3,30.2,16.5,89.6,2.9,,,,62.4,4.0,31.6,2.0,,,,,,,,,,93.8,,,,,,92.1,92.1,90.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-086C,Acero Chtr Sch Network Victoria Soto Campus,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,51.4,48.6,,,,99.6,,,,,,16.5,16.5,57.1,27.9,15.0,98.7,4.2,,,,65.1,,27.6,,,,4.8,,,,,,,93.8,,,,,,95.0,95.0,95.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-049C,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,K - 12,53.5,46.5,,2.5,50.9,42.1,,,,,,18.8,18.5,41.4,9.0,49.5,89.8,7.2,,,,66.4,7.9,21.0,,,,4.7,,,,,,,91.7,,,,,,,,92.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0848,Air Force Acad High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,50.0,50.0,,,55.4,40.0,,,,,,18.5,18.5,29.2,10.0,60.8,87.7,,,,,31.3,47.4,5.7,9.8,,,,,16.6,,,,84.0,78.6,,,,,,90.9,90.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0849,Alcott College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,63.0,37.0,,13.9,15.0,66.9,,,,,,36.2,35.9,33.7,18.1,48.2,73.8,7.5,,,,71.8,8.6,11.9,4.0,,,2.4,,6.6,,,,,91.0,,,,,,80.6,80.6,92.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0001,Amundsen High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,54.1,45.9,,45.6,6.5,37.0,6.4,,,4.2,,26.3,16.0,14.8,16.1,69.2,35.1,,,,,72.2,3.6,11.9,3.8,,1.0,4.1,,12.1,,,91.8,78.9,75.9,75.0,,,,,81.8,80.4,62.9,,0.0,14.4,,4.8,,,,,,,,14.3,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-079C,Aspira Charter - Business and Finance HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,49.4,50.6,,,5.7,91.4,,,,,,22.3,22.3,57.0,21.4,21.6,83.6,3.3,,,,45.9,5.4,45.9,,,,,2.7,,,,,,84.5,,,,,,90.5,90.5,82.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-074C,ASPIRA Charter - Early College Prep HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,53.2,46.8,,,,95.7,,,,,,14.4,14.4,64.4,18.0,17.6,92.1,3.6,,,,33.3,23.8,38.1,4.8,,,,,,,,,,80.4,,,,,,100.0,100.0,76.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0844,Austin College and Career Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,51.0,49.0,,,81.4,17.2,,,,,,20.7,17.2,,,85.5,86.2,22.1,,,,42.1,42.3,15.6,,,,,,48.4,,,,76.5,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
